dominio,classificacao,links,links_ativos,DR,ahrefs_spam,nofollow,lost,categoria_top,anchor_exemplo,url_exemplo
cafecomnoticias.com,NICHO,2,2,6,0,0,0,(sem),Papo de Bola,http://www.cafecomnoticias.com/2013/04/cafe-ve-tv-copa-hotel-video-show.html
radioamantes.com,NICHO,2,2,6,0,0,0,(sem),Papo de Bola,https://radioamantes.com/tag/gilson-ricardo/
gateway.ipfs.cybernode.ai,NICHO,3,3,4,0,0,0,(sem),Cinco anos da TV Esporte Interativo,https://gateway.ipfs.cybernode.ai/ipfs/QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco/wiki/Esporte_I
midiaesportiva.com,NICHO,459,459,4,0,0,0,(sem),Papo de Bola,https://www.midiaesportiva.com/2012/05/espn-brasil-perde-silvio-lancellotti.html
ademirquintino.com.br,NICHO,3,3,2,0,0,0,(sem),http://www.papodebola.com.br/papodemidia/coluna/20,https://www.ademirquintino.com.br/2013/08/embalou.html
allansimon.com.br,NICHO,1,1,2,0,0,0,(sem),Papo de Bola,https://www.allansimon.com.br/2020/02/29/29-de-fevereiro-veja-os-destaques-esportivos-na-tv-nesta-da
portalmidiaesporte.com,NICHO,17,17,1,0,0,0,(sem),,https://www.portalmidiaesporte.com/2010/03/emmily-virgilio-se-demitiu-da-band-por.html
santuariodomestreryu.com.br,NICHO,2,2,1,0,0,0,Games,Papo de Bola (24 Horas),https://www.santuariodomestreryu.com.br/2019/11/cronicas-da-televisao-cronologia-game.html
tvsdorj.com,NICHO,1,1,1,0,0,0,(sem),Papo de Bola,http://www.tvsdorj.com/2011/07/esporte-interativo-se-pronuncia-sobre.html
felipemenhem.com.br,NICHO,2,2,0,0,2,0,(sem),http://www.papodebola.com.br/papodemidia/blog/prec,https://www.felipemenhem.com.br/2007/06/26/jogador-gay/
draftbrasil.org,NICHO,2,2,0,0,0,0,(sem),http://www.papodebola.com.br/papodemidi ... 100508,http://draftbrasil.org/forum/viewtopic.php?t=11381&start=14700
kiwix.pancrypticon.net,NICHO,1,1,0,0,1,0,(sem),Cinco anos da TV Esporte Interativo,https://kiwix.pancrypticon.net/content/wikipedia_en_all_maxi_2025-08/TNT_Sports_(Brazil)
pressid.com.br,NICHO,76,76,0,0,0,0,(sem),http://www.papodebola.com.br/papodemidia/profissio,https://pressid.com.br/perfil/isabela-scalabrini-matte
riotv.com.br,NICHO,2,2,0,0,0,0,(sem),http://www.papodebola.com.br/papodemidia/coluna/20,https://riotv.com.br/wordpress/rede-globo-da-tiro-de-misericordia-na-record/
learnsth.icu,NICHO,1,1,0,0,1,0,(sem),Cinco anos da TV Esporte Interativo,https://learnsth.icu/wiki/TNT_Sports_(Brazil)
sport.pl,REVISAR,1,1,71,0,1,0,(sem),wygląda tak,"https://www.sport.pl/Zczuba/7,138263,3615327.html"
a.osmarks.net,REVISAR,5,5,32,0,0,0,(sem),the original,https://a.osmarks.net/content/wikipedia_en_all_maxi_2020-08/A/List_of_Santos_FC_records_and_statisti
filmup.com,REVISAR,5,5,28,0,0,0,(sem),Gabi,http://filmup.com/forum/viewtopic.php?topic=45589&forum=22</FONT><hr&start=15
radiorj.com.br,REVISAR,8,8,20,0,0,0,(sem),Homepage,http://radiorj.com.br/band02.html
dublanet.com.br,REVISAR,2,2,19,0,0,0,(sem),http://www.papodebola.com.br,https://www.dublanet.com.br/comunidade/member.php?action=profile&uid=5054
autoentusiastasclassic.com.br,REVISAR,4,4,13,0,4,0,(sem),Leonardo,https://www.autoentusiastasclassic.com.br/2010/05/camaromania.html
chicomaia.com.br,REVISAR,1,1,11,0,1,0,(sem),http://www.papodebola.com.br/,https://chicomaia.com.br/2010/03/08/estadio-independencia-arena-e-boas-dicas-de-sites/
pt.everybodywiki.com,ESPELHO,7,7,76,0,7,0,(sem),original,https://pt.everybodywiki.com/Eric_Faria
dicionario.sensagent.com,ESPELHO,4,4,65,0,4,0,Sports,Santos: 100 anos,https://dicionario.sensagent.com/wiki/Santos%20Futebol%20Clube/pt-pt/
p2k.stekom.ac.id,ESPELHO,1,1,64,0,1,0,(sem),[1],https://p2k.stekom.ac.id/ensiklopedia/Roberto_Rivellino
wiki2.org,ESPELHO,2,2,64,0,2,0,Sports,Статья на papodebola.com.br,"https://wiki2.org/ru/%D0%9C%D0%BE%D1%80%D0%B5%D0%B9%D1%80%D0%B0,_%D0%90%D0%B9%D0%BC%D0%BE%D1%80%D0%B"
wikimili.com,ESPELHO,1,1,48,0,1,0,(sem),Cinco anos da TV Esporte Interativo,https://wikimili.com/en/TNT_Sports_%28Brazil%29
justapedia.org,ESPELHO,1,1,36,0,1,0,(sem),the original,https://justapedia.org/wiki/Edgardo_Andrada
wikizero.org,ESPELHO,1,1,28,0,1,0,(sem),Cinco anos da TV Esporte Interativo,https://www.wikizero.org/wiki/en/TNT_Sports_(Brazil)
wikipedia.akarpov.ru,ESPELHO,6,6,27,0,0,0,Sports,Статья на papodebola.com.br,https://wikipedia.akarpov.ru/content/wikipedia/A/%D0%9C%D0%BE%D1%80%D0%B5%D0%B9%D1%80%D0%B0%2C_%D0%9
sport.wikisort.org,ESPELHO,4,4,15,0,0,0,(sem),"""Gatti, El loco""",https://sport.wikisort.org/athlete/en/Athlete/Hugo_Gatti
es.knowledger.de,ESPELHO,1,1,15,0,0,0,(sem),http://www.papodebola.com.br/vidadecraque/20050210,http://es.knowledger.de/0705658/RobertoRivelino
turkipedia.com,ESPELHO,1,1,11,0,1,0,(sem),kaynağından,https://turkipedia.com/Edgardo_Andrada
wiki.hoelee.com,ESPELHO,2,2,10,0,0,0,(sem),"""Gatti, El loco""",https://wiki.hoelee.com/content/wikipedia_en_all_maxi_2024-01/A/Hugo_Gatti
wikipedia.figueres.social,ESPELHO,6,6,5,0,6,0,(sem),Perfil a papodebola,https://wikipedia.figueres.social/wiki/Roberto_Rivellino
wikipedia.nlaha.com,ESPELHO,4,4,2,0,0,0,(sem),the original,https://wikipedia.nlaha.com/content/wikipedia_en_all_maxi_2024-01/A/List_of_Santos_FC_records_and_st
wikipedia.blackbriarcomputing.com,ESPELHO,2,2,0,0,0,0,(sem),the original,https://wikipedia.blackbriarcomputing.com/content/wikipedia_en_all_maxi_2024-01/A/List_of_Santos_FC_
portalidea.wiki,ESPELHO,41,41,0,0,41,0,(sem),«Página no site Papo de Bola»,https://portalidea.wiki/wikipedia_pt_all_maxi_2026-02/Alberto_Rodrigues
netvouz.com,TOXICO,5,5,70,0,4,0,(sem),http--www.papodebola.com.br-24horas-z24-frandresch,https://netvouz.com/futuresport/tag/drescher
bye.fyi,TOXICO,1,1,48,0,1,0,Internet,papodebola.com.br,https://bye.fyi/report/8412
maisev.com,TOXICO,1,1,25,0,1,0,(sem),http://www.papodebola.com.br/24horas/z24-manuela.j,https://www.maisev.com/forum/off-topic/12703-ellen-roche-deborah-secco-contato-72-print.html
topsimilarsites.com,TOXICO,2,2,13,0,2,0,(sem),Feed para Papo de Bola »,https://www.topsimilarsites.com/ru/similar/papodebola.com.br
urlm.com.br,TOXICO,1,1,8,0,1,0,(sem),Entrar no site,http://urlm.com.br/www.papodebola.com.br
smiletic.com,TOXICO,1,1,7,0,1,0,(sem),Leonardo,https://smiletic.com/2010/09/03/laworder-rubber-room-20x23/
gottod.com,TOXICO,2,2,3,0,2,0,(sem),оригинала,https://gottod.com/wiki/%D0%96%D1%83%D0%BB%D0%B8%D0%BD%D1%8C%D0%BE
findit.co.in,TOXICO,2,2,2,0,2,0,(sem),papodebola.com.br,https://www.findit.co.in/domains/204921/315452ee7c3d758d6ceed7e6eb184192/
addurl.in,TOXICO,2,2,2,0,2,0,(sem),papodebola.com.br,https://www.addurl.in/domains/204921/d99c5eb92b4faaa290bddf98810c6ffd/
realitygoal.com.ar,TOXICO,3,3,0,0,0,0,(sem),http://www.papodebola.com.br,http://www.realitygoal.com.ar/prensa.htm
backlinkshop.shop,TOXICO,1,1,0,0,1,0,Internet,Rank papodebola.com.br higher with backlinks and g,https://backlinkshop.shop/4q628q8-stacked-dofollow-backlinks-niche-edits-crypto-dual-strategy-double
backlinkvault.shop,TOXICO,1,1,0,0,1,0,Internet,"Complete SEO for papodebola.com.br: guest posts, b",https://backlinkvault.shop/ifyh9iy-45-day-authority-link-packages-journey-fintech-no-traffic-to-dr40
