Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
quanto é que tá o jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Video preview, Knowledge panel",3000,56,0.01,1,0,29,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 01:05:30
que dia o palmeiras vai jogar,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,Video preview,15000,25,0.02,1,0,28,,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,2026-06-15 17:02:35
google palmeiras joga hoje,BR,Brazil,Portuguese,"Google (Organization), Palmeiras (Organization)",true,false,false,true,false,false,"People also ask, Video preview",700,61,0.02,1,0,24,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-08 20:08:04
jogos de hoje pela série b,BR,Brazil,Portuguese,Série B (Event),false,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",5000,47,0.13,1,0,28,,https://www.papodebola.com.br/futebol/brasileirao-serie-b,2026-06-14 11:13:00
que hora que o botafogo joga,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",600,41,0.01,1,0,22,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-16 03:22:33
resultado do jogo do botafogo de hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",2100,59,0.01,1,0,24,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-13 08:58:51
botafogo joga quando,BR,Brazil,Portuguese,Botafogo de Futebol e Regatas (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",6700,64,0.01,1,0,26,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-15 18:49:12
com quem o palmeiras joga hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Featured snippet, People also ask, Video preview",4500,61,0.02,1,0,24,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 15:43:11
jogo do internacional onde assistir,BR,Brazil,Portuguese,Internacional match (Event),false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",800,10,0.10,1,0,25,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-14 17:43:15
como é que tá o jogo do internacional,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview, People also ask",1900,56,0.04,1,0,28,,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,2026-06-06 00:10:57
quanto está o jogo do botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview, Knowledge panel",5500,59,0.05,1,0,27,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 17:08:40
horario jogo do botafogo hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"Featured snippet, People also ask, Video preview",200,26,0.01,1,0,10,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-15 08:40:38
como é que tá o jogo do palmeiras google,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",500,44,,1,0,22,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-09 12:28:37
jogo do botafogo de hoje,BR,Brazil,Portuguese,Botafogo match (Event),false,false,false,true,false,false,"People also ask, Video preview",4600,64,0.01,1,0,29,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 06:47:41
jogo do palmeiras tá quanto,BR,Brazil,Portuguese,Palmeiras match (Event),false,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",800,53,0.04,1,0,25,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 18:19:11
hoje tem jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",8900,62,0.29,1,0,28,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-15 13:27:08
palmeiras hoje placar,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",700,46,0.02,1,0,16,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-11 19:18:03
onde assistir internacional,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1100,13,0.10,1,0,26,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-06 15:03:55
palmeiras joga hoje ou amanhã,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",800,47,0.01,1,0,22,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-10 16:49:13
palmeiras joga com quem hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",7300,56,0.02,1,0,26,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 10:36:09
jogo do chapecoense,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",4700,34,0.08,1,0,19,,https://www.papodebola.com.br/futebol/times/chapecoense,2026-06-12 10:28:50
o botafogo joga hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",1500,61,0.01,1,0,21,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-14 09:58:37
que hora o botafogo joga,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",1000,41,0.01,1,0,26,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-05 23:22:57
placar jogo do palmeiras hoje,BR,Brazil,Portuguese,Palmeiras match (Event),false,false,false,true,false,false,"People also ask, Video preview",800,47,0.01,1,0,17,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-09 22:51:12
como está o jogo do botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",1000,62,0.02,1,0,26,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-08 18:50:47
palmeiras vai jogar que dia,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, Video preview",5100,34,0.02,1,0,29,,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,2026-06-15 11:13:51
placar do jogo botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",600,48,0.11,1,0,17,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-05 02:21:34
que horas o palmeiras joga hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",11000,34,0.02,1,0,21,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 04:34:09
último jogo do bragantino,BR,Brazil,Portuguese,Red Bull Bragantino (Organization),true,false,false,true,false,false,Video preview,2400,16,0.02,1,0,30,,https://www.papodebola.com.br/futebol/times/bragantino,2026-06-05 06:56:20
jogo botafogo hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Top stories, Thumbnail, Video preview",19000,55,0.11,1,0,24,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-15 01:50:48
quando é que o botafogo joga,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"Knowledge panel, People also ask, Video preview",1900,49,0.01,1,0,29,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-05 18:36:37
inter onde assistir hoje,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"People also ask, Video preview",500,17,0.14,1,0,23,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-03 00:15:27
jogo flu hoje,BR,Brazil,Portuguese,Fluminense Football Club (Organization),true,false,false,true,false,false,"People also ask, Video preview",700,24,0.11,1,0,19,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-05 09:24:12
onde assistir o jogo do bragantino,BR,Brazil,Portuguese,Red Bull Bragantino (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",80,0,0.06,1,0,16,,https://www.papodebola.com.br/futebol/times/bragantino/onde-assistir,2026-06-15 00:14:27
proximo jogo palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",47000,24,0.02,1,0,21,,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,2026-06-15 16:46:48
qual o placar do jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",2500,39,0.42,1,0,24,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-16 05:18:46
internacional placar,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"People also ask, Video preview",600,43,0.01,1,0,20,,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,2026-06-07 03:30:11
qual o placar do fluminense,BR,Brazil,Portuguese,Fluminense (Organization),true,false,false,true,false,false,Video preview,700,36,0.37,1,0,26,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-02 23:13:39
inter hoje jogo,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"People also ask, Video preview",2100,52,0.08,1,0,25,,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,2026-06-08 03:07:57
botafogo joga hoje que horas,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"AI Overview, People also ask, Video preview",800,48,0.01,1,0,21,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 20:43:08
tem jogo do inter hoje,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"People also ask, Video preview",1600,55,0.11,1,0,24,,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,2026-06-07 02:50:13
placar do bragantino,BR,Brazil,Portuguese,Red Bull Bragantino (Organization),true,false,false,true,false,false,"People also ask, Video preview",700,0,,1,0,25,,https://www.papodebola.com.br/futebol/times/bragantino,2026-06-07 01:49:06
onde passar o jogo do inter hoje,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",700,17,0.10,1,0,26,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-12 09:36:51
jogo botafogo hoje onde assistir,BR,Brazil,Portuguese,Botafogo match (Event),false,false,false,true,false,false,"AI Overview, People also ask, Video preview, Image pack",800,21,0.12,1,0,27,,https://www.papodebola.com.br/futebol/times/botafogo/onde-assistir,2026-06-03 20:55:46
fluminense hoje,PT,Portugal,Portuguese,Fluminense Football Club (Organization),true,false,false,true,false,false,Video preview,700,62,0.16,1,0,25,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-07 11:03:34
de quanto tá o jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Knowledge panel, People also ask, Video preview",3600,63,0.01,1,0,23,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 08:58:04
próximo jogo da chape,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,,150,16,,1,0,10,,https://www.papodebola.com.br/futebol/times/chapecoense,2026-06-14 12:33:57
próximo jogo chapecoense,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel",250,19,,1,0,13,,https://www.papodebola.com.br/futebol/times/chapecoense,2026-06-13 13:06:39
quanto foi o jogo do botafogo hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1700,61,0.01,1,0,24,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-02 09:10:46
placar do jogo do inter hoje,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"People also ask, Video preview, Image pack",1500,0,0.03,1,0,22,,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,2026-06-03 06:59:52
como está o jogo do fluminense,BR,Brazil,Portuguese,Fluminense (Organization),true,false,false,true,false,false,"People also ask, Video preview",2300,39,0.09,1,0,31,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-04 05:25:33
palmeiras joga hoje com quem,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1700,56,0.02,1,0,24,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-12 08:20:40
hora do jogo do botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Thumbnail, Video preview",4900,42,0.01,1,0,27,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-11 07:44:45
qual o próximo jogo do botafogo,BR,Brazil,Portuguese,Botafogo de Futebol e Regatas (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",3100,52,0.02,1,0,25,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-09 09:37:11
quando o palmeiras joga,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview, Knowledge panel",21000,66,0.01,0,0,34,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-11 00:15:23
que horas o inter joga hoje,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1500,37,0.01,0,0,24,,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,2026-06-04 11:17:49
próximo jogo do chapecoense,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail",200,18,,0,0,15,,http://www.papodebola.com.br/futebol/times/chapecoense,2026-06-04 14:10:38
o próximo jogo do botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",700,48,0.03,0,0,26,,https://www.papodebola.com.br/Botafogo,2026-06-14 21:58:15
hoje tem jogo do inter,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"People also ask, Video preview",1200,56,0.01,0,0,23,,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,2026-06-05 11:54:17
jogos de futsal ao vivo hoje,BR,Brazil,Portuguese,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1300,39,0.02,0,0,30,,https://www.papodebola.com.br/futsal,2026-06-14 10:56:53
resultado jogo do botafogo hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",600,52,0.01,0,0,19,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 15:58:11
que horas o fluminense joga,BR,Brazil,Portuguese,Fluminense (Organization),true,false,false,true,false,false,"People also ask, Video preview",800,23,0.02,0,0,27,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-08 07:52:29
google como é que tá o jogo do palmeiras,BR,Brazil,Portuguese,"Google (Organization), Palmeiras (Organization)",true,false,false,true,false,false,"Video preview, Knowledge panel, People also ask",700,53,,0,0,26,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-15 06:55:36
palmeiras tá jogando hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",3200,56,0.04,0,0,26,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-12 07:37:24
que horas o botafogo joga,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",800,41,0.01,0,0,27,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-13 03:50:36
palmeiras joga hoje?,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview, Knowledge panel",1800,57,,0,0,24,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-12 02:44:46
que horas o botafogo joga hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"AI Overview, People also ask, Video preview",900,49,0.08,0,0,22,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-07 15:38:22
quando vai ser o próximo jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",5000,34,0.02,0,0,26,,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,2026-06-16 06:25:07
qual o próximo jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, Video preview",23000,34,0.01,0,0,31,,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,2026-06-15 19:42:20
qual o jogo da série b hoje,BR,Brazil,Portuguese,Brazilian Serie B (Event),true,false,false,true,false,false,"People also ask, Video preview",1000,33,0.11,0,0,29,,https://www.papodebola.com.br/futebol/brasileirao-serie-b,2026-06-15 02:37:17
onde assistir inter,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1500,17,0.10,0,0,31,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-04 00:19:35
como é que tá o jogo da chapecoense,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,"Knowledge panel, People also ask, Video preview",500,25,,0,0,26,,https://www.papodebola.com.br/futebol/times/chapecoense,2026-06-15 23:03:41
resultado jogo botafogo hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1000,59,0.01,0,0,24,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-11 17:55:12
resultado do jogo do vasco de hoje,BR,Brazil,Portuguese,Vasco da Gama (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, Video preview",3400,36,0.01,0,0,30,,https://www.papodebola.com.br/futebol/times/vasco,2026-06-12 01:54:47
escalacao inter hoje,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"People also ask, Video preview, Knowledge panel",600,40,0.24,0,0,25,,https://www.papodebola.com.br/futebol/times/internacional/escalacao,2026-06-07 05:48:50
fluminense joga que hora hoje,BR,Brazil,Portuguese,Fluminense (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1100,35,0.02,0,0,30,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-05 12:29:25
palmeiras joga com quem amanhã,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1800,64,0.03,0,0,27,,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,2026-06-13 12:29:07
qual foi o placar do jogo do fluminense,BR,Brazil,Portuguese,Fluminense (Organization),true,false,false,true,false,false,"People also ask, Video preview",600,19,0.01,0,0,27,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-06 13:15:38
rodada libertadores,BR,Brazil,Portuguese,CONMEBOL Libertadores (Event),true,false,false,true,false,false,"Video preview, Image pack",5400,34,0.06,0,0,15,,https://www.papodebola.com.br/futebol/libertadores,2026-06-16 09:43:55
jogos do botafogo,BR,Brazil,Portuguese,Botafogo de Futebol e Regatas (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",14000,59,0.03,0,0,37,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 12:56:54
botafogo hoje jogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",1400,56,0.13,0,0,23,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-14 18:30:13
palmeiras joga contra quem hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",1100,57,0.01,0,0,25,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-10 21:13:32
bragantino proximos jogos,BR,Brazil,Portuguese,Red Bull Bragantino (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel",20,0,,0,0,11,,https://www.papodebola.com.br/futebol/times/bragantino,2026-06-15 09:34:05
resultado jogo palmeiras hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,Video preview,1900,52,0.01,0,0,27,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 07:55:26
quanto está o jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",4600,68,0.02,0,0,29,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-13 07:35:17
botafogo hoje resultado,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"Featured snippet, People also ask, Video preview",1000,57,0.01,0,0,23,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-09 16:25:34
jogo do palmeiras tá de quanto,BR,Brazil,Portuguese,Palmeiras match (Event),false,false,false,true,false,false,"Knowledge panel, People also ask, Video preview",900,63,0.03,0,0,30,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-09 05:57:14
horario jogo botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",700,27,0.01,0,0,19,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-13 18:28:55
transmissão botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Top stories, Video preview, Image pack",1000,24,0.14,0,0,29,,https://www.papodebola.com.br/futebol/times/botafogo/onde-assistir,2026-06-05 01:51:51
quanto tá o jogo fluminense,BR,Brazil,Portuguese,Fluminense Football Club (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",900,48,,0,0,29,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-05 14:48:53
quanto tá o jogo do chapecoense,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",700,24,,0,0,28,,https://www.papodebola.com.br/futebol/times/chapecoense,2026-06-11 17:45:20
botafogo joga com quem hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",2800,67,0.01,0,0,27,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 12:54:12
palmeiras tá jogando com quem,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Video preview, Image pack",900,60,0.02,0,0,30,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-11 20:50:13
o palmeiras jogou hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1100,0,0.08,0,0,26,,https://www.papodebola.com.br/Palmeiras,2026-06-11 00:10:04
jogo do.palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Top stories, Thumbnail, People also ask, Knowledge panel, Video preview",3500,62,0.08,0,0,30,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-13 14:15:00
botafogo x onde assistir,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Top stories, Video preview, Bottom ads, Paid sitelinks",600,1,0.14,0,0,29,,https://www.papodebola.com.br/futebol/times/botafogo/onde-assistir,2026-06-02 21:28:13
próximos jogos botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",1000,46,0.01,0,0,26,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 20:48:51
botafogo jogou hoje,BR,Brazil,Portuguese,Botafogo de Futebol e Regatas (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",800,67,0.02,0,0,24,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-04 17:16:51
jogo bragantino hoje,BR,Brazil,Portuguese,Red Bull Bragantino (Organization),true,false,false,true,false,false,"People also ask, Video preview, Knowledge panel",800,48,0.10,0,0,25,,https://www.papodebola.com.br/futebol/times/bragantino,2026-06-03 04:13:18
como tá o jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",4300,63,0.01,0,0,30,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-13 13:52:11
vasco partidas,BR,Brazil,Portuguese,Vasco da Gama (Organization),true,false,false,true,false,false,Video preview,1100,38,0.32,0,0,26,,https://www.papodebola.com.br/futebol/times/vasco,2026-06-13 08:38:50
cruzeiro hoje tabela,BR,Brazil,Portuguese,Cruzeiro (Organization),true,false,false,true,false,false,"People also ask, Video preview, Image pack, Sitelinks",1900,51,0.32,0,0,33,,https://www.papodebola.com.br/futebol/times/cruzeiro,2026-06-06 00:22:29
onde assistir o jogo do inter,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",2900,17,0.04,0,0,35,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-08 03:58:02
placar jogo botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",900,48,0.07,0,0,23,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 18:55:28
o internacional joga hoje,BR,Brazil,Portuguese,Sport Club Internacional (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1100,47,0.01,0,0,24,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-12 11:46:07
quando vai ser o jogo do fluminense,BR,Brazil,Portuguese,Fluminense (Organization),true,false,false,true,false,false,"People also ask, Video preview",600,27,0.02,0,0,28,,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,2026-06-06 10:16:00
próximo jogo botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",2600,47,0.01,0,0,27,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-12 05:46:22
botafogo próximos jogos,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",700,37,0.01,0,0,24,,https://www.papodebola.com.br/futebol/times/botafogo,2026-06-10 14:57:20
qual canal tá passando o jogo do inter,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"Featured snippet, People also ask, Video preview",1100,17,0.02,0,0,31,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-12 22:10:23
tá quanto o jogo do botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview, People also ask",800,57,,0,0,30,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-09 16:51:41
